node_idx,string_id,gene,degree
0,9606.ENSP00000000233,ARF5,27
1,9606.ENSP00000000412,M6PR,4
2,9606.ENSP00000001008,FKBP4,32
3,9606.ENSP00000001146,CYP26B1,22
4,9606.ENSP00000002125,NDUFAF7,43
5,9606.ENSP00000002165,FUCA2,27
6,9606.ENSP00000002596,HS3ST1,32
7,9606.ENSP00000002829,SEMA3F,18
8,9606.ENSP00000003084,CFTR,12
9,9606.ENSP00000003100,CYP51A1,18
10,9606.ENSP00000003302,USP28,8
11,9606.ENSP00000004531,SLC7A2,87
12,9606.ENSP00000004982,HSPB6,15
13,9606.ENSP00000005178,PDK4,49
14,9606.ENSP00000005226,USH1C,28
15,9606.ENSP00000005257,RALA,29
16,9606.ENSP00000005260,BAIAP2L1,11
17,9606.ENSP00000005284,CACNG3,6
18,9606.ENSP00000005286,TMEM132A,4
19,9606.ENSP00000005340,DVL2,13
20,9606.ENSP00000005386,RPAP3,6
21,9606.ENSP00000005587,SKAP2,96
22,9606.ENSP00000006015,HOXA11,146
23,9606.ENSP00000006053,CX3CL1,17
24,9606.ENSP00000006275,TRAPPC6A,8
25,9606.ENSP00000006658,SPATA20,3
26,9606.ENSP00000007390,TSR3,8
27,9606.ENSP00000007414,OSBPL7,23
28,9606.ENSP00000007699,YBX2,7
29,9606.ENSP00000007735,KRT33A,24
30,9606.ENSP00000008391,TFAP2D,72
31,9606.ENSP00000008527,CRY1,48
32,9606.ENSP00000008938,PGLYRP1,14
33,9606.ENSP00000009041,STARD3NL,23
34,9606.ENSP00000009105,CAMK1G,39
35,9606.ENSP00000009530,CD74,14
36,9606.ENSP00000011292,CPA1,32
37,9606.ENSP00000011473,SYPL1,71
38,9606.ENSP00000011619,RANBP9,24
39,9606.ENSP00000011653,CD4,42
40,9606.ENSP00000011898,TSPAN9,11
41,9606.ENSP00000012049,QPCTL,203
42,9606.ENSP00000012443,PPP5C,89
43,9606.ENSP00000013070,UBR7,53
44,9606.ENSP00000013125,MAP4K5,74
45,9606.ENSP00000013222,INMT,176
46,9606.ENSP00000013807,ERCC1,435
47,9606.ENSP00000014914,GPRC5A,87
48,9606.ENSP00000014930,HEBP1,71
49,9606.ENSP00000016171,COX15,30
50,9606.ENSP00000016913,MS4A12,307
51,9606.ENSP00000016946,RGPD5,244
52,9606.ENSP00000017003,XYLT2,9
53,9606.ENSP00000019103,SCTR,66
54,9606.ENSP00000020926,SYT13,89
55,9606.ENSP00000020945,SNAI2,360
56,9606.ENSP00000023064,SLC7A9,17
57,9606.ENSP00000023939,RTF2,73
58,9606.ENSP00000025008,RB1CC1,24
59,9606.ENSP00000025301,AKAP11,31
60,9606.ENSP00000026218,PIGQ,63
61,9606.ENSP00000027335,CDH17,23
62,9606.ENSP00000029410,B4GALT7,18
63,9606.ENSP00000035307,CHPF2,92
64,9606.ENSP00000037243,GABARAPL2,51
65,9606.ENSP00000037502,MYOC,256
66,9606.ENSP00000039007,OTC,140
67,9606.ENSP00000040584,HOXC8,75
68,9606.ENSP00000040663,MRI1,136
69,9606.ENSP00000040738,BOD1L1,27
70,9606.ENSP00000040877,TARBP1,89
71,9606.ENSP00000043402,RTN4R,53
72,9606.ENSP00000044462,PSMA4,51
73,9606.ENSP00000045083,RIPOR3,81
74,9606.ENSP00000046087,ZPBP,8
75,9606.ENSP00000046794,LCP2,70
76,9606.ENSP00000052754,DCN,41
77,9606.ENSP00000053243,TNFRSF17,21
78,9606.ENSP00000053468,MRPS10,59
79,9606.ENSP00000053469,GUCA1A,72
80,9606.ENSP00000053867,GRN,23
81,9606.ENSP00000054650,THAP3,49
82,9606.ENSP00000054666,VAMP3,91
83,9606.ENSP00000054668,UTS2,117
84,9606.ENSP00000054950,RCN1,102
85,9606.ENSP00000055077,RFC2,88
86,9606.ENSP00000055335,PPP1R3F,51
87,9606.ENSP00000055682,NEXMIF,84
88,9606.ENSP00000056217,ARHGEF5,58
89,9606.ENSP00000056233,NFE2L3,84
90,9606.ENSP00000061240,TLL1,65
91,9606.ENSP00000064724,CLDN11,41
92,9606.ENSP00000064778,FAM168A,14
93,9606.ENSP00000064780,RELT,41
94,9606.ENSP00000070846,PKP2,40
95,9606.ENSP00000072644,YIPF1,20
96,9606.ENSP00000072869,ADCK2,69
97,9606.ENSP00000074304,INPP4A,22
98,9606.ENSP00000075120,SLC2A3,62
99,9606.ENSP00000075503,STYK1,37
100,9606.ENSP00000078429,GNA11,87
101,9606.ENSP00000078445,CREB3L3,158
102,9606.ENSP00000080059,HDAC7,145
103,9606.ENSP00000081029,MRPS35,48
104,9606.ENSP00000083182,APPBP2,93
105,9606.ENSP00000085068,ISOC2,159
106,9606.ENSP00000085219,CD22,57
107,9606.ENSP00000086933,GSC2,114
108,9606.ENSP00000155093,ZFY,63
109,9606.ENSP00000155840,KCNQ1,37
110,9606.ENSP00000155858,TRPM5,41
111,9606.ENSP00000155926,TRIB2,28
112,9606.ENSP00000156084,OTUD5,60
113,9606.ENSP00000156109,GPKOW,109
114,9606.ENSP00000156471,AQR,126
115,9606.ENSP00000156626,ST6GALNAC1,207
116,9606.ENSP00000157600,LMCD1,49
117,9606.ENSP00000157812,PSMC4,46
118,9606.ENSP00000158762,ACAP1,12
119,9606.ENSP00000158771,DERL2,129
120,9606.ENSP00000159060,NOX3,2
121,9606.ENSP00000159111,KDM4B,7
122,9606.ENSP00000160262,ICAM3,45
123,9606.ENSP00000160373,CTTNBP2,7
124,9606.ENSP00000160382,ACTL6B,15
125,9606.ENSP00000160827,KIF22,15
126,9606.ENSP00000161559,CEACAM1,1
127,9606.ENSP00000161863,YTHDC2,7
128,9606.ENSP00000162391,FOXJ2,15
129,9606.ENSP00000162749,TNFRSF1A,16
130,9606.ENSP00000163416,GOLGA5,8
131,9606.ENSP00000164024,CELSR3,7
132,9606.ENSP00000164133,PPP2R5B,31
133,9606.ENSP00000164139,PYGM,40
134,9606.ENSP00000164227,BCL3,24
135,9606.ENSP00000164305,PIGB,72
136,9606.ENSP00000165524,PRLH,26
137,9606.ENSP00000166139,FSTL3,27
138,9606.ENSP00000166244,EPHA8,28
139,9606.ENSP00000166345,TRIP13,72
140,9606.ENSP00000167106,VASH1,234
141,9606.ENSP00000167586,KRT14,27
142,9606.ENSP00000167588,KRT20,98
143,9606.ENSP00000168148,SPP2,22
144,9606.ENSP00000168216,HSD17B10,19
145,9606.ENSP00000168712,FGF4,5
146,9606.ENSP00000169298,ST6GAL1,22
147,9606.ENSP00000169551,TIMM21,4
148,9606.ENSP00000170150,BPIFB2,1
149,9606.ENSP00000170168,REXO1,26
150,9606.ENSP00000170447,MKRN2,53
151,9606.ENSP00000170564,GPATCH1,77
152,9606.ENSP00000171887,TNS1,51
153,9606.ENSP00000172229,NGFR,44
154,9606.ENSP00000173229,NTN1,119
155,9606.ENSP00000173527,ISOC1,253
156,9606.ENSP00000173898,TRO,13
157,9606.ENSP00000174618,MNT,3
158,9606.ENSP00000175091,LAPTM4A,10
159,9606.ENSP00000175756,PTPN18,10
160,9606.ENSP00000176183,DRD4,15
161,9606.ENSP00000176195,SCT,16
162,9606.ENSP00000176763,STK10,15
163,9606.ENSP00000177694,TBX21,53
164,9606.ENSP00000177742,MRPS34,23
165,9606.ENSP00000178638,CA12,6
166,9606.ENSP00000178640,MAP2K5,49
167,9606.ENSP00000179259,TIGAR,33
168,9606.ENSP00000180166,FGF20,51
169,9606.ENSP00000180173,MTMR7,7
170,9606.ENSP00000181383,CPB2,27
171,9606.ENSP00000181796,FAM107B,6
172,9606.ENSP00000181839,CDK13,23
173,9606.ENSP00000182290,TSPAN32,29
174,9606.ENSP00000182527,TRAM2,49
175,9606.ENSP00000184183,ROPN1,22
176,9606.ENSP00000184266,NDUFB4,11
177,9606.ENSP00000184956,HEATR6,102
178,9606.ENSP00000185150,ERLEC1,68
179,9606.ENSP00000185206,CLIC5,43
180,9606.ENSP00000186436,TMEM131,12
181,9606.ENSP00000188312,ACTR6,24
182,9606.ENSP00000188790,FAP,57
183,9606.ENSP00000192314,GAL3ST2,248
184,9606.ENSP00000193322,OSTM1,186
185,9606.ENSP00000193391,IMPG2,57
186,9606.ENSP00000194130,SLC13A1,13
187,9606.ENSP00000194214,HSPB11,54
188,9606.ENSP00000194530,STRADB,35
189,9606.ENSP00000196061,PLOD1,8
190,9606.ENSP00000196371,OXCT1,25
191,9606.ENSP00000198536,PILRA,52
192,9606.ENSP00000198767,RRN3,24
193,9606.ENSP00000198801,MOGAT2,16
194,9606.ENSP00000199280,AQP2,35
195,9606.ENSP00000199320,DIMT1,96
196,9606.ENSP00000199389,EIF2AK1,18
197,9606.ENSP00000199447,NME8,117
198,9606.ENSP00000199708,HBQ1,1
199,9606.ENSP00000199764,CEACAM6,438
200,9606.ENSP00000199814,RBM22,101
201,9606.ENSP00000199936,HSD17B2,43
202,9606.ENSP00000200135,ZW10,19
203,9606.ENSP00000200181,ITGB4,102
204,9606.ENSP00000200453,PPP1R15A,39
205,9606.ENSP00000200457,TRIP6,27
206,9606.ENSP00000200557,ADAM11,27
207,9606.ENSP00000200652,SLC22A4,15
208,9606.ENSP00000200676,CETP,34
209,9606.ENSP00000200691,MT3,17
210,9606.ENSP00000201031,TFAP2C,31
211,9606.ENSP00000201586,SULT2B1,34
212,9606.ENSP00000201647,EPS8L1,66
213,9606.ENSP00000202017,PDRG1,53
